2014-04-06 19:07:17,155 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@22cf2994: startup date [Sun Apr 06 19:07:17 CEST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2014-04-06 19:07:19,264 | INFO  | PListStore:[/Users/Gustavo/Documents/SORPAPETEAM/SorAMQ/activemq/bin/macosx/../../data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2014-04-06 19:07:19,331 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/Gustavo/Documents/SORPAPETEAM/SorAMQ/activemq/bin/macosx/../../data/kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-04-06 19:07:19,679 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:veraedu119-75.wi-fi.upv.es-50360-1396804039502-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-04-06 19:07:19,732 | INFO  | Listening for connections at: tcp://veraedu119-75.wi-fi.upv.es:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-04-06 19:07:19,741 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-04-06 19:07:19,759 | INFO  | Listening for connections at: amqp://veraedu119-75.wi-fi.upv.es:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-04-06 19:07:19,766 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-04-06 19:07:19,787 | INFO  | Listening for connections at: stomp://veraedu119-75.wi-fi.upv.es:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-04-06 19:07:19,788 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-04-06 19:07:19,800 | INFO  | Listening for connections at: mqtt://veraedu119-75.wi-fi.upv.es:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-04-06 19:07:19,802 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-04-06 19:07:20,042 | INFO  | Listening for connections at ws://veraedu119-75.wi-fi.upv.es:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2014-04-06 19:07:20,043 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-04-06 19:07:20,044 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:veraedu119-75.wi-fi.upv.es-50360-1396804039502-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-04-06 19:07:20,045 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-04-06 19:07:20,708 | INFO  | Welcome to hawtio 1.2-M23 : http://hawt.io/ : Don't cha wish your console was hawt like me? ;-) | io.hawt.jmx.JmxTreeWatcher | WrapperSimpleAppMain
2014-04-06 19:07:20,716 | INFO  | Starting hawtio authentication filter, JAAS realm: "activemq" authorized role: "admins" role principal classes: "org.apache.activemq.jaas.GroupPrincipal" | io.hawt.web.AuthenticationFilter | WrapperSimpleAppMain
2014-04-06 19:07:20,773 | INFO  | Using file upload directory: /var/folders/l9/1thv2d316y7c_rtbghjhdlwh0000gn/T//uploads | io.hawt.web.UploadServlet | WrapperSimpleAppMain
2014-04-06 19:07:20,803 | INFO  | jolokia-agent: Using access restrictor classpath:/jolokia-access.xml | /hawtio | WrapperSimpleAppMain
2014-04-06 19:07:21,238 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2014-04-06 19:07:21,302 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2014-04-06 19:09:13,057 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:veraedu119-75.wi-fi.upv.es-50360-1396804039502-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-24
2014-04-06 19:09:13,797 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2014-04-06 19:09:13,826 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2014-04-06 19:09:13,842 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2014-04-06 19:09:13,855 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2014-04-06 19:09:13,921 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2014-04-06 19:09:13,954 | INFO  | PListStore:[/Users/Gustavo/Documents/SORPAPETEAM/SorAMQ/activemq/bin/macosx/../../data/localhost/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-24
2014-04-06 19:09:13,955 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-24
2014-04-06 19:09:13,955 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-24
2014-04-06 19:09:13,957 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-24
2014-04-06 19:09:14,410 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:veraedu119-75.wi-fi.upv.es-50360-1396804039502-0:1) uptime 1 minute | org.apache.activemq.broker.BrokerService | Thread-24
2014-04-06 19:09:14,411 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:veraedu119-75.wi-fi.upv.es-50360-1396804039502-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-24
