STATUS | wrapper  | 2014/04/06 19:07:15 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/04/06 19:07:15 | Launching a JVM...
INFO   | jvm 1    | 2014/04/06 19:07:16 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2014/04/06 19:07:16 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2014/04/06 19:07:16 | 
INFO   | jvm 1    | 2014/04/06 19:07:16 | 
INFO   | jvm 1    | 2014/04/06 19:07:16 | WARNING - Unable to load the Wrapper's native library because none of the
INFO   | jvm 1    | 2014/04/06 19:07:16 |           following files:
INFO   | jvm 1    | 2014/04/06 19:07:16 |             libwrapper-macosx-x86-64.dylib
INFO   | jvm 1    | 2014/04/06 19:07:16 |             libwrapper-macosx-universal-64.dylib
INFO   | jvm 1    | 2014/04/06 19:07:16 |             libwrapper.dylib
INFO   | jvm 1    | 2014/04/06 19:07:16 |           could be located on the following java.library.path:
INFO   | jvm 1    | 2014/04/06 19:07:16 |             /Users/Gustavo/Documents/SORPAPETEAM/SorAMQ/activemq/bin/macosx/../../bin/macosx
INFO   | jvm 1    | 2014/04/06 19:07:16 |           Please see the documentation for the wrapper.java.library.path
INFO   | jvm 1    | 2014/04/06 19:07:16 |           configuration property.
INFO   | jvm 1    | 2014/04/06 19:07:16 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2014/04/06 19:07:16 | 
INFO   | jvm 1    | 2014/04/06 19:07:16 | Java Runtime: Oracle Corporation 1.7.0_09 /Library/Java/JavaVirtualMachines/jdk1.7.0_09.jdk/Contents/Home/jre
INFO   | jvm 1    | 2014/04/06 19:07:16 |   Heap sizes: current=81792k  free=76158k  max=932096k
INFO   | jvm 1    | 2014/04/06 19:07:16 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Dhawtio.realm=activemq -Dhawtio.role=admins -Dhawtio.rolePrincipalClasses=org.apache.activemq.jaas.GroupPrincipal -Djava.security.auth.login.config=../../conf/login.config -Xmx1024m -Djava.library.path=../../bin/macosx/ -Dwrapper.key=Mz34GLg9XHu6dDaj -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=77839 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.service=TRUE -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2014/04/06 19:07:16 | Extensions classpath:
INFO   | jvm 1    | 2014/04/06 19:07:16 |   [../../lib,../../lib/camel,../../lib/optional,../../lib/web,../../lib/extra]
INFO   | jvm 1    | 2014/04/06 19:07:16 | ACTIVEMQ_HOME: ../..
INFO   | jvm 1    | 2014/04/06 19:07:16 | ACTIVEMQ_BASE: ../..
INFO   | jvm 1    | 2014/04/06 19:07:16 | ACTIVEMQ_CONF: ../../conf
INFO   | jvm 1    | 2014/04/06 19:07:16 | ACTIVEMQ_DATA: ../../data
INFO   | jvm 1    | 2014/04/06 19:07:16 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2014/04/06 19:07:17 |  INFO | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@22cf2994: startup date [Sun Apr 06 19:07:17 CEST 2014]; root of context hierarchy
INFO   | jvm 1    | 2014/04/06 19:07:19 |  INFO | PListStore:[/Users/Gustavo/Documents/SORPAPETEAM/SorAMQ/activemq/bin/macosx/../../data/localhost/tmp_storage] started
INFO   | jvm 1    | 2014/04/06 19:07:19 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/Gustavo/Documents/SORPAPETEAM/SorAMQ/activemq/bin/macosx/../../data/kahadb]
INFO   | jvm 1    | 2014/04/06 19:07:19 |  INFO | Apache ActiveMQ 5.9.0 (localhost, ID:veraedu119-75.wi-fi.upv.es-50360-1396804039502-0:1) is starting
INFO   | jvm 1    | 2014/04/06 19:07:19 |  INFO | Listening for connections at: tcp://veraedu119-75.wi-fi.upv.es:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2014/04/06 19:07:19 |  INFO | Connector openwire started
INFO   | jvm 1    | 2014/04/06 19:07:19 |  INFO | Listening for connections at: amqp://veraedu119-75.wi-fi.upv.es:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2014/04/06 19:07:19 |  INFO | Connector amqp started
INFO   | jvm 1    | 2014/04/06 19:07:19 |  INFO | Listening for connections at: stomp://veraedu119-75.wi-fi.upv.es:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2014/04/06 19:07:19 |  INFO | Connector stomp started
INFO   | jvm 1    | 2014/04/06 19:07:19 |  INFO | Listening for connections at: mqtt://veraedu119-75.wi-fi.upv.es:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2014/04/06 19:07:19 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2014/04/06 19:07:20 |  INFO | Listening for connections at ws://veraedu119-75.wi-fi.upv.es:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2014/04/06 19:07:20 |  INFO | Connector ws started
INFO   | jvm 1    | 2014/04/06 19:07:20 |  INFO | Apache ActiveMQ 5.9.0 (localhost, ID:veraedu119-75.wi-fi.upv.es-50360-1396804039502-0:1) started
INFO   | jvm 1    | 2014/04/06 19:07:20 |  INFO | For help or more information please see: http://activemq.apache.org
INFO   | jvm 1    | 2014/04/06 19:07:20 |  INFO | Welcome to hawtio 1.2-M23 : http://hawt.io/ : Don't cha wish your console was hawt like me? ;-)
INFO   | jvm 1    | 2014/04/06 19:07:20 |  INFO | Starting hawtio authentication filter, JAAS realm: "activemq" authorized role: "admins" role principal classes: "org.apache.activemq.jaas.GroupPrincipal"
INFO   | jvm 1    | 2014/04/06 19:07:20 |  INFO | Using file upload directory: /var/folders/l9/1thv2d316y7c_rtbghjhdlwh0000gn/T//uploads
INFO   | jvm 1    | 2014/04/06 19:07:20 |  INFO | jolokia-agent: Using access restrictor classpath:/jolokia-access.xml
INFO   | jvm 1    | 2014/04/06 19:07:21 |  INFO | ActiveMQ WebConsole available at http://localhost:8161/
INFO   | jvm 1    | 2014/04/06 19:07:21 |  INFO | Initializing Spring FrameworkServlet 'dispatcher'
STATUS | wrapper  | 2014/04/06 19:09:12 | TERM trapped.  Shutting down.
INFO   | jvm 1    | 2014/04/06 19:09:13 |  INFO | Apache ActiveMQ 5.9.0 (localhost, ID:veraedu119-75.wi-fi.upv.es-50360-1396804039502-0:1) is shutting down
INFO   | jvm 1    | 2014/04/06 19:09:13 |  INFO | Connector openwire stopped
INFO   | jvm 1    | 2014/04/06 19:09:13 |  INFO | Connector amqp stopped
INFO   | jvm 1    | 2014/04/06 19:09:13 |  INFO | Connector stomp stopped
INFO   | jvm 1    | 2014/04/06 19:09:13 |  INFO | Connector mqtt stopped
INFO   | jvm 1    | 2014/04/06 19:09:14 |  INFO | Connector ws stopped
INFO   | jvm 1    | 2014/04/06 19:09:14 |  INFO | PListStore:[/Users/Gustavo/Documents/SORPAPETEAM/SorAMQ/activemq/bin/macosx/../../data/localhost/tmp_storage] stopped
INFO   | jvm 1    | 2014/04/06 19:09:14 |  INFO | Stopping async queue tasks
INFO   | jvm 1    | 2014/04/06 19:09:14 |  INFO | Stopping async topic tasks
INFO   | jvm 1    | 2014/04/06 19:09:14 |  INFO | Stopped KahaDB
INFO   | jvm 1    | 2014/04/06 19:09:14 |  INFO | Apache ActiveMQ 5.9.0 (localhost, ID:veraedu119-75.wi-fi.upv.es-50360-1396804039502-0:1) uptime 1 minute
INFO   | jvm 1    | 2014/04/06 19:09:14 |  INFO | Apache ActiveMQ 5.9.0 (localhost, ID:veraedu119-75.wi-fi.upv.es-50360-1396804039502-0:1) is shutdown
